Id;OpponentId;DateTime;Serie;Result;Stadion;Home_match;Extra_time;Penalties;ResultCode;Attendance;RefereeId
19167;2;2018-08-27 18:30:00.000;Ykkönen;2-0;Bolt Arena;1;0;0;1;0;NULL
19168;15;2018-09-01 17:00:00.000;Ykkönen;2.tammi;Raatin stadion;0;0;0;2;0;NULL
19169;16;2018-09-10 18:30:00.000;Ykkönen;0-1;Bolt Arena;1;0;0;2;0;NULL
19170;4009;2018-09-17 18:30:00.000;Ykkönen;3-0;Bolt Arena;1;0;0;1;0;NULL
19171;14;2018-09-23 18:30:00.000;Ykkönen;0-3;Tammisaaren Keskuskenttä;0;0;0;1;0;NULL
19172;4008;2018-09-29 17:00:00.000;Ykkönen;0-2;Harjun stadion;0;0;0;1;0;NULL
19173;19;2018-10-06 17:00:00.000;Ykkönen;1-0;Bolt Arena;1;0;0;1;0;NULL
19174;18;2018-10-20 14:00:00.000;Ykkönen;2.tammi;Bolt Arena;1;0;0;1;0;NULL
19175;13;2018-10-27 13:00:00.000;Ykkönen;0-1;Kajaanin liikuntapuisto;0;0;0;1;0;NULL
20149;19;2015-10-04 15:00:00.000;Veikkausliiga;1-0;Arto Tolsa Areena;0;0;0;2;2682;NULL
21154;6;2019-10-23 18:30:00.000;Eurolopputurnaus;1-0;Wiklöf Holding Arena;0;1;1;2;925;3
21156;8;2020-10-08 18:30:00.000;Veikkausliiga;3.helmi;Savon Sanomat Areena;0;0;0;2;1578;7
22157;9;2020-10-22 18:00:00.000;Veikkausliiga;1-0;Bolt Arena;1;0;0;1;841;12
24157;5;2020-11-04 18:30:00.000;Veikkausliiga;2.tammi;Lahden kisapuisto;0;0;0;2;0;7
